Time,Date time,Elevation (ft),Elevation (m)
2025-01-01T08:00:00Z,1/1/2025 8:00,158.83,48.41138245
2025-01-02T08:00:00Z,1/2/2025 8:00,159.15,48.50891845
2025-01-03T08:00:00Z,1/3/2025 8:00,159.25,48.53939845
2025-01-04T08:00:00Z,1/4/2025 8:00,158.66,48.35956645
2025-01-05T08:00:00Z,1/5/2025 8:00,159.02,48.46929445
2025-01-06T08:00:00Z,1/6/2025 8:00,158.99,48.46015045
2025-01-07T08:00:00Z,1/7/2025 8:00,159.06,48.48148645
2025-01-08T08:00:00Z,1/8/2025 8:00,158.92,48.43881445
2025-01-09T08:00:00Z,1/9/2025 8:00,158.89,48.42967045
2025-01-10T08:00:00Z,1/10/2025 8:00,158.99,48.46015045
2025-01-11T08:00:00Z,1/11/2025 8:00,159.02,48.46929445
2025-01-12T08:00:00Z,1/12/2025 8:00,158.92,48.43881445
2025-01-13T08:00:00Z,1/13/2025 8:00,159.32,48.56073445
2025-01-14T08:00:00Z,1/14/2025 8:00,158.76,48.39004645
2025-01-15T08:00:00Z,1/15/2025 8:00,158.79,48.39919045
2025-01-16T08:00:00Z,1/16/2025 8:00,158.73,48.38090245
2025-01-17T08:00:00Z,1/17/2025 8:00,158.73,48.38090245
2025-01-18T08:00:00Z,1/18/2025 8:00,158.83,48.41138245
2025-01-19T08:00:00Z,1/19/2025 8:00,158.79,48.39919045
2025-01-20T08:00:00Z,1/20/2025 8:00,158.46,48.29860645
2025-01-21T08:00:00Z,1/21/2025 8:00,158.43,48.28946245
2025-01-22T08:00:00Z,1/22/2025 8:00,158.66,48.35956645
2025-01-23T08:00:00Z,1/23/2025 8:00,158.69,48.36871045
2025-01-24T08:00:00Z,1/24/2025 8:00,158.83,48.41138245
2025-01-25T08:00:00Z,1/25/2025 8:00,158.63,48.35042245
2025-01-26T08:00:00Z,1/26/2025 8:00,158.92,48.43881445
2025-01-27T08:00:00Z,1/27/2025 8:00,158.76,48.39004645
2025-01-28T08:00:00Z,1/28/2025 8:00,158.53,48.31994245
2025-01-29T08:00:00Z,1/29/2025 8:00,158.1,48.18887846
2025-01-30T08:00:00Z,1/30/2025 8:00,158.69,48.36871045
2025-01-31T08:00:00Z,1/31/2025 8:00,158.04,48.17059046
2025-02-01T08:00:00Z,2/1/2025 8:00,158.66,48.35956645
2025-02-02T08:00:00Z,2/2/2025 8:00,158.92,48.43881445
2025-02-03T08:00:00Z,2/3/2025 8:00,158.23,48.22850246
2025-02-04T08:00:00Z,2/4/2025 8:00,158.56,48.32908645
2025-02-05T08:00:00Z,2/5/2025 8:00,158.69,48.36871045
2025-02-06T08:00:00Z,2/6/2025 8:00,158.83,48.41138245
2025-02-07T08:00:00Z,2/7/2025 8:00,158.63,48.35042245
2025-02-08T08:00:00Z,2/8/2025 8:00,158.76,48.39004645
2025-02-09T08:00:00Z,2/9/2025 8:00,158.53,48.31994245
2025-02-10T08:00:00Z,2/10/2025 8:00,158.37,48.27117446
2025-02-11T08:00:00Z,2/11/2025 8:00,158.37,48.27117446
2025-02-12T08:00:00Z,2/12/2025 8:00,158.53,48.31994245
2025-02-13T08:00:00Z,2/13/2025 8:00,159.22,48.53025445
2025-02-14T08:00:00Z,2/14/2025 8:00,159.06,48.48148645
2025-02-15T08:00:00Z,2/15/2025 8:00,159.35,48.56987845
2025-02-16T08:00:00Z,2/16/2025 8:00,159.09,48.49063045
2025-02-17T08:00:00Z,2/17/2025 8:00,159.09,48.49063045
2025-02-18T08:00:00Z,2/18/2025 8:00,158.89,48.42967045
2025-02-19T08:00:00Z,2/19/2025 8:00,158.5,48.31079845
2025-02-20T08:00:00Z,2/20/2025 8:00,158.92,48.43881445
2025-02-21T08:00:00Z,2/21/2025 8:00,158.66,48.35956645
2025-02-22T08:00:00Z,2/22/2025 8:00,158.73,48.38090245
2025-02-23T08:00:00Z,2/23/2025 8:00,158.92,48.43881445
2025-02-24T08:00:00Z,2/24/2025 8:00,158.4,48.28031846
2025-02-25T08:00:00Z,2/25/2025 8:00,158.86,48.42052645
2025-02-26T08:00:00Z,2/26/2025 8:00,158.79,48.39919045
2025-02-27T08:00:00Z,2/27/2025 8:00,158.5,48.31079845
2025-02-28T08:00:00Z,2/28/2025 8:00,158.83,48.41138245
2025-03-01T08:00:00Z,3/1/2025 8:00,158.73,48.38090245
2025-03-02T08:00:00Z,3/2/2025 8:00,158.69,48.36871045
2025-03-03T08:00:00Z,3/3/2025 8:00,159.02,48.46929445
2025-03-04T08:00:00Z,3/4/2025 8:00,158.86,48.42052645
2025-03-05T08:00:00Z,3/5/2025 8:00,158.83,48.41138245
2025-03-06T08:00:00Z,3/6/2025 8:00,158.66,48.35956645
2025-03-07T08:00:00Z,3/7/2025 8:00,158.69,48.36871045
2025-03-08T08:00:00Z,3/8/2025 8:00,158.53,48.31994245
2025-03-09T08:00:00Z,3/9/2025 8:00,158.53,48.31994245
2025-03-10T07:00:00Z,3/10/2025 7:00,158.66,48.35956645
2025-03-11T07:00:00Z,3/11/2025 7:00,158.73,48.38090245
2025-03-12T07:00:00Z,3/12/2025 7:00,158.89,48.42967045
2025-03-13T07:00:00Z,3/13/2025 7:00,158.46,48.29860645
2025-03-14T07:00:00Z,3/14/2025 7:00,158.23,48.22850246
2025-03-15T07:00:00Z,3/15/2025 7:00,157.94,48.14011046
2025-03-16T07:00:00Z,3/16/2025 7:00,158.2,48.21935846
2025-03-17T07:00:00Z,3/17/2025 7:00,158.83,48.41138245
2025-03-18T07:00:00Z,3/18/2025 7:00,158.6,48.34127845
2025-03-19T07:00:00Z,3/19/2025 7:00,159.12,48.49977445
2025-03-20T07:00:00Z,3/20/2025 7:00,159.02,48.46929445
2025-03-21T07:00:00Z,3/21/2025 7:00,159.09,48.49063045
2025-03-22T07:00:00Z,3/22/2025 7:00,158.92,48.43881445
2025-03-23T07:00:00Z,3/23/2025 7:00,158.99,48.46015045
2025-03-24T07:00:00Z,3/24/2025 7:00,158.86,48.42052645
2025-03-25T07:00:00Z,3/25/2025 7:00,158.96,48.45100645
2025-03-26T07:00:00Z,3/26/2025 7:00,158.56,48.32908645
2025-03-27T07:00:00Z,3/27/2025 7:00,158.63,48.35042245
2025-03-28T07:00:00Z,3/28/2025 7:00,158.33,48.25898246
2025-03-29T07:00:00Z,3/29/2025 7:00,158.23,48.22850246
2025-03-30T07:00:00Z,3/30/2025 7:00,158.01,48.16144646
2025-03-31T07:00:00Z,3/31/2025 7:00,158.53,48.31994245
2025-04-01T07:00:00Z,4/1/2025 7:00,158.4,48.28031846
2025-04-02T07:00:00Z,4/2/2025 7:00,158.33,48.25898246
2025-04-03T07:00:00Z,4/3/2025 7:00,158.33,48.25898246
2025-04-04T07:00:00Z,4/4/2025 7:00,159.15,48.50891845
2025-04-05T07:00:00Z,4/5/2025 7:00,159.09,48.49063045
2025-04-06T07:00:00Z,4/6/2025 7:00,159.06,48.48148645
2025-04-07T07:00:00Z,4/7/2025 7:00,158.99,48.46015045
2025-04-08T07:00:00Z,4/8/2025 7:00,158.79,48.39919045
2025-04-09T07:00:00Z,4/9/2025 7:00,159.35,48.56987845
2025-04-10T07:00:00Z,4/10/2025 7:00,159.15,48.50891845
2025-04-11T07:00:00Z,4/11/2025 7:00,158.01,48.16144646
