DATE       TIME ,  BNDW    OBM     ,Air temp C,  BNDW    WS      ,Wind Speed m/s,  BNDW    SI      ,Solar Radiation,Flow speed (dalles),m/s,outflow (Bonneville)(kcfs),m^3/s,RH,Water Control
6/6/2026 0:00,57.72,14.28888889,3.38,1.510952168,0,0,2.82,0.859536,244.4,6921.408,73,16.1
6/6/2026 1:00,56.74,13.74444444,5.72,2.556995977,0,0,2.82,0.859536,230.6,6530.592,85,16.1
6/6/2026 2:00,55.91,13.28333333,3.46,1.54671435,0,0,2.91,0.886968,218,6173.76,80,16.1
6/6/2026 3:00,55.09,12.82777778,5.95,2.659812249,0,0,2.77,0.844296,217.3,6153.936,68,16.1
6/6/2026 4:00,54.45,12.47222222,6.99,3.124720608,0,0,2.7,0.82296,217.2,6151.104,46,16.1
6/6/2026 5:00,50.6,10.33333333,4.48,2.002682164,0.01,0.1163,2.5,0.762,217.3,6153.936,51,16.1
6/6/2026 6:00,50.25,10.13888889,2.5,1.117568172,0.4,4.652,2.45,0.74676,218.3,6182.256,49,16.1
6/6/2026 7:00,50.45,10.25,4.58,2.04738489,3.84,44.6592,2.43,0.740664,219.1,6204.912,56,16.1
6/6/2026 8:00,51.93,11.07222222,4.35,1.944568619,8.96,104.2048,2.08,0.633984,219.3,6210.576,50,16.1
6/6/2026 9:00,54.01,12.22777778,4.18,1.868573983,20.91,243.1833,2.29,0.697992,218.9,6199.248,46,16.1
6/6/2026 10:00,53.68,12.04444444,6.53,2.919088064,24.96,290.2848,2.4,0.73152,207.7,5882.064,45,16.1
6/6/2026 11:00,52.31,11.28333333,3.06,1.367903442,34.62,402.6306,2.3,0.70104,197.2,5584.704,42,16.2
6/6/2026 12:00,53.9,12.16666667,2.18,0.974519446,23.92,278.1896,2.33,0.710184,195.4,5533.728,32,16.2
6/6/2026 13:00,55.65,13.13888889,1.93,0.862762629,20.52,238.6476,2.16,0.658368,193.9,5491.248,46,16.2
6/6/2026 14:00,56.03,13.35,3.03,1.354492624,63.75,741.4125,1.98,0.603504,194,5494.08,40,16.2
6/6/2026 15:00,59.5,15.27777778,4.45,1.989271346,72,837.36,2.3,0.70104,193.9,5491.248,32,16.3
6/6/2026 16:00,56.1,13.38888889,2.58,1.153330353,24.18,281.2134,2.43,0.740664,193.7,5485.584,35,16.3
6/6/2026 17:00,50.65,10.36111111,3.37,1.506481895,3.36,39.0768,2.63,0.801624,193.9,5491.248,27,16.3
6/6/2026 18:00,48.71,9.138888889,1.63,0.728654448,1.43,16.6309,2.57,0.783336,194.6,5511.072,40,16.3
6/6/2026 19:00,48.45,9.472222222,0.12,0.053643272,1.15,13.3745,2.53,0.771144,216.7,6136.944,40,16.3
6/6/2026 20:00,49.05,9.472222222,2.38,1.063924899,6.87,79.8981,2.28,0.694944,216.7,6136.944,33,16.3
6/6/2026 21:00,49.05,9.672222222,0.94,0.420205633,0.34,3.9542,2.34,0.713232,217,6145.44,41,16.2
6/6/2026 22:00,49.41,9.233333333,1.11,0.496200268,0,0,2.25,0.6858,217,6145.44,44,16.2
6/6/2026 23:00,48.62,10.68888889,0.69,0.308448815,0,0,2.14,0.652272,216.2,6122.784,57,16.2
